name,code,sector,marketCapital,closePrice,peRatio,price
Damodar Industries Ltd,DAMODARIND,Textiles,99.258,42.6,-16.03521809,0
DIGJAM Ltd,DIGJAMLMTD,Textiles,5.3,26.5,0.592841163,0
Eastern Silk Industries Ltd,EASTSILK,Textiles,35.9234421,4.55,34.54177125,0
Donear Industries Ltd,DONEAR,Textiles,280.02,53.85,-44.73162939,0
Filatex India Ltd,FILATEX,Textiles,2254.905153,100.1,13.59851135,0
Eurotex Industries and Exports Ltd,EUROTEXIND,Textiles,10.45608868,11.95,-0.890637877,0
GB Global Ltd,GBGLOBAL,Textiles,3.08229435,9.3,-0.030260106,0
Ganesha Ecosphere Ltd,GANECOS,Textiles,1092.124732,500.3,25.08901291,0
Garware Technical Fibres Ltd,GARFIBRES,Textiles,7018.734,3404.15,44.31018939,0
Globe Textiles (India) Ltd,GLOBE,Textiles,210.8423925,13.95,916.7060543,0
Garden Silk Mills Ltd,GARDENSILK,Textiles,31.982719,7.6,-0.15405934,0
Ginni Filaments Ltd,GINNIFILA,Textiles,247.7397034,31.3,5.998540035,0
GTN Textiles Ltd,GTNTEX,Textiles,9.77800152,8.4,-0.271535727,0
GTN Industries Ltd,GTNIND,Textiles,33.972224,11.95,-5.453005457,0
Himatsingka Seide Ltd,HIMATSEIDE,Textiles,2443.706711,248.2,-45.80518671,0
Indo Count Industries Ltd,ICIL,Textiles,4769.176027,241.6,19.02875165,0
Indo Rama Synthetics (India) Ltd,INDORAMA,Textiles,1316.010281,50.4,11.60707604,0
Integra Garments and Textiles Ltd,INTEGRA,Textiles,16.34955705,4.5,-27.24926175,0
Jakharia Fabric Ltd,JAKHARIA,Textiles,65.427663,161,-5.502747098,0
Jai Corp Ltd,JAICORPLTD,Textiles,2136.039438,119.7,23.06738054,0
JBF Industries Ltd,JBFIND,Textiles,178.0712716,21.75,-0.920122315,0
Jindal Worldwide Ltd,JINDWORLD,Textiles,2504.499796,124.9,56.65007455,0
Jindal Cotex Ltd,JINDCOT,Textiles,15.3010676,3.4,-3.048021434,0
KPR Mill Ltd,KPRMILL,Textiles,15487.41075,450.15,30.05746759,0
Lambodhara Textiles Ltd,LAMBODHARA,Textiles,84.05856,81,7.93005283,0
Laxmi Cotspin Ltd,LAXMICOT,Textiles,49.47102795,28.85,45.38626417,0
Lagnam Spintex Ltd,LAGNAM,Textiles,91.70211,51.9,20.24329139,0
Maral Overseas Ltd,MARALOVER,Textiles,340.57314,82.05,27.15894258,0
Mayur Uniquoters Ltd,MAYURUNIQ,Textiles,1932.661848,433.55,21.53383675,0
Mittal Life Style Ltd,MITTAL,Textiles,13.11831472,10.15,48.58635081,0
Mohota Industries Ltd,MOHOTAIND,Textiles,13.16284734,8.95,-0.750447397,0
Morarjee Textiles Ltd,MORARJEE,Textiles,65.4622674,18.8,-1.061492904,0
Mohit Industries Ltd,MOHITIND,Textiles,16.63515063,11.75,24.4634568,0
Nahar Spinning Mills Ltd,NAHARSPING,Textiles,1843.11731,511.05,44.50899082,0
Nagreeka Exports Ltd,NAGREEKEXP,Textiles,38.9365655,31.15,-4.679875661,0
Nahar Poly Films Ltd,NAHARPOLY,Textiles,573.8837099,233.4,9.166007186,0
Nahar Industrial Enterprises Ltd,NAHARINDUS,Textiles,472.643948,118.65,-53.89326659,0
Nandan Denim Ltd,NDL,Textiles,380.5485235,79.2,-20.32844677,0
Niraj Ispat Industries Ltd,NIRAJISPAT,Textiles,6.72,,19.2,0
Nitin Spinners Ltd,NITINSPIN,Textiles,1282.3782,228.1,18.62297705,0
Orbit Exports Ltd,ORBTEXP,Textiles,219.886012,80.3,92.778908,0
Patspin India Ltd,PATSPINLTD,Textiles,26.4366,8.55,-0.696433087,0
Pashupati Cotspin Ltd,PASHUPATI,Textiles,121.5078,79.5,22.926,0
Precot Ltd,PRECOT,Textiles,338.82,282.35,10.2859745,0
Pradip Overseas Ltd,PRADIP,Textiles,5.570621045,1.15,-0.031755906,0
Raj Rayon Industries Ltd,RAJRAYON,Textiles,12.12589,0.35,-0.348745758,0
Rajvir Industries Ltd,RAJVIR,Textiles,2.9362221,7.35,-0.089437164,0
Salona Cotspin Ltd,SALONA,Textiles,106.484664,202.35,17.17494581,0
Ruby Mills Ltd,RUBYMILLS,Textiles,455.3692,272.35,17.61582979,0
RSWM Ltd,RSWM,Textiles,942.8579595,400.35,45.22100525,0
Sangam (India) Ltd,SANGAMIND,Textiles,1238.818219,285.3,294.2561091,0
Sarla Performance Fibers Ltd,SARLAPOLY,Textiles,431.71051,51.7,16.45238224,0
Shiva Texyarn Ltd,SHIVATEX,Textiles,280.9019907,216.7,22.87475494,0
Shiva Mills Ltd,SHIVAMILLS,Textiles,83.56628336,96.7,9.773834311,0
STL Global Ltd,SGL,Textiles,41.17902,15,1.101043316,0
K-Lifestyle and Industries Ltd,KLIFESTYL,Textiles,27.83299148,0.2,-0.490449189,0
Sel Manufacturing Company Ltd,SELMCL,Textiles,0.170643705,5.15,6.80598E-05,0
Siyaram Silk Mills Ltd,SIYSIL,Textiles,2161.413739,461.15,602.0651084,0
S K S Textiles Ltd,SKSTEXTILE,Textiles,6.469982445,19.85,-0.096179314,0
Supreme (India) Impex Ltd,SIIL,Textiles,,28.55,0,0
Soma Textiles & Industries Ltd,SOMATEX,Textiles,22.627605,6.85,-1.05049234,0
Standard Industries Ltd,SIL,Textiles,100.353148,15.6,32.26789323,0
Shekhawati Poly-Yarn Ltd,SPYL,Textiles,24.129,0.7,-2.109178322,0
Spentex Industries Ltd,SPENTEX,Textiles,11.22150438,1.25,-0.308537376,0
STI India Ltd,STINDIA,Textiles,8.265,2.85,-1.420103093,0
Sumeet Industries Ltd,SUMEETINDS,Textiles,81.35927537,7.85,-11.42686452,0
SRF Ltd,SRF,Textiles,62719.93627,2117.3,52.35649221,0
Super Spinning Mills Ltd,SUPERSPIN,Textiles,71.5,13,-9.039190898,0
Surya Lakshmi Cotton Mills Ltd,SURYALAXMI,Textiles,98.78331825,59.25,-35.02954548,0
Swan Energy Ltd,SWANENERGY,Textiles,3102.0639,127,-45.20641067,0
Sutlej Textiles and Industries Ltd,SUTLEJTEX,Textiles,1130.417478,69,-308.8572344,0
Mandhana Retail Ventures Ltd,TMRVL,Textiles,35.77382658,16.2,-12.82216006,0
Trident Ltd,TRIDENT,Textiles,18967.81632,37.95,62.31419008,0
T T Ltd,TTL,Textiles,178.433815,83,-23.44728187,0
Vaxtex Cotfab Ltd,VCL,Textiles,59.1808875,98.25,348.1228676,0
Vasa Retail and Overseas Ltd,VASA,Textiles,3.59553,6,4.230035294,0
United Polyfab Gujarat Ltd,UNITEDPOLY,Textiles,30.589263,14.6,57.71559057,0
Vardhman Acrylics Ltd,VARDHACRLC,Textiles,419.0969354,52.15,9.769159333,0
Vardhman Polytex Ltd,VARDMNPOLY,Textiles,47.5911932,21.35,-0.83935085,0
Vera Synthetic Ltd,VERA,Textiles,13.842675,28.05,7.442298387,0
Vinny Overseas Ltd,VINNY,Textiles,34.93948,38,87.3487,0
Visagar Polytex Ltd,VIVIDHA,Textiles,20.48903738,0.7,682.9679127,0
Weizmann Ltd,WEIZMANIND,Textiles,92.14364456,53.35,17.78834837,0
Welspun India Ltd,WELSPUNIND,Textiles,13605.56532,137.7,25.210898,0
Vardhman Textiles Ltd,VTL,Textiles,11226.4433,1946.05,27.38758093,0
Vishal Fabrics Ltd,VISHAL,Textiles,674.1794602,102.35,37.22691663,0
Zenith Exports Ltd,ZENITHEXPO,Textiles,44.7349125,82.9,-34.67822674,0
SVP Global Ventures Ltd,SVPGLOB,Textiles,1572.395,124.3,63.25,0
Pasupati Acrylon Ltd,PASUPTAC,Textiles,223.0023343,31.35,5.181281002,0
Accord Synergy Ltd,ACCORD,Telecom Services,6.66624,19.2,6.115816514,0
Bharti Airtel Ltd,BHARTIARTL,Telecom Services,403099.9745,685.35,-26.72456489,0
Vodafone Idea Ltd,IDEA,Telecom Services,27442.29672,9.55,-0.620401842,0
Mahanagar Telephone Nigam Ltd,MTNL,Telecom Services,1165.5,18.5,-0.473537944,0
Reliance Communications Ltd,RCOM,Telecom Services,782.1124042,2.85,-0.135056537,0
Tata Communications Ltd,TATACOMM,Telecom Services,37260.9,1307.4,29.79370397,0
Tata Teleservices (Maharashtra) Ltd,TTML,Telecom Services,10282.91984,52.6,-5.149983144,0
Uniinfo Telecom Services Ltd,UNIINFO,Telecom Services,26.5189376,24.8,-6.374744615,0
GTL Infrastructure Ltd,GTLINFRA,Telecom Infrastructure,1765.694487,1.4,-1.389468186,0
GTL Ltd,GTL,Telecom Infrastructure,213.1371383,13.55,4.655682356,0
Indus Towers Ltd,INDUSTOWER,Telecom Infrastructure,73154.77989,271.5,19.3582376,0
Birla Cable Ltd,BIRLACABLE,Telecom Equipments,251.7,83.9,30.69512195,0
Digispice Technologies Ltd,DIGISPICE,Telecom Equipments,1045.439941,45.55,91.22512577,0
HFCL Ltd,HFCL,Telecom Equipments,9166.19347,71.25,38.35227393,0
ITI Ltd,ITI,Telecom Equipments,10968.89371,117.5,1157.056299,0
Shyam Telecom Ltd,SHYAMTEL,Telecom Equipments,11.0446,9.8,-24.01,0
Sterlite Technologies Ltd,STLTECH,Telecom Equipments,10877.32868,273.85,39.48643657,0
Tejas Networks Ltd,TEJASNET,Telecom Equipments,4907.09995,430.65,130.7165677,0
Tamilnadu Telecommunication Ltd,TNTELE,Telecom Equipments,38.143635,8.35,-3.85678817,0
Vindhya Telelinks Ltd,VINDHYATEL,Telecom Equipments,1329.903846,1122.2,4.92392849,0
Cerebra Integrated Technologies Ltd,CEREBRAINT,Technology Hardware,655.0129352,54.05,385.3017266,0
Compuage Infocom Ltd,COMPINFO,Technology Hardware,159.5156037,24.55,7.706067813,0
Creative Newtech Ltd,CREATIVE,Technology Hardware,426.648,367.8,45.53340448,0
D Link (India) Limited,DLINKINDIA,Technology Hardware,486.7714935,137.1,15.52205018,0
Euro Multivision Ltd,EUROMULTI,Technology Hardware,3.451007105,1.45,-0.244925983,0
Optiemus Infracom Ltd,OPTIEMUS,Technology Hardware,2542.245408,296.25,26.87931284,0
Panache Digilife Ltd,PANACHE,Technology Hardware,71.16,59.3,203.3142857,0
Redington (India) Ltd,REDINGTON,Technology Hardware,11227.82266,143.7,14.84395968,0
TVS Electronics Ltd,TVSELECT,Technology Hardware,294.1155149,157.7,381.9682011,0
Aspinwall & Co Ltd,ASPINWALL,Tea & Coffee,137.9146003,176.4,21.44861591,0
Bombay Burmah Trading Corporation Ltd,BBTC,Tea & Coffee,7529.085729,1079.1,20.37365912,0
CCL Products India Ltd,CCL,Tea & Coffee,5061.712356,380.5,27.77040849,0
Dhunseri Tea & Industries Ltd,DTIL,Tea & Coffee,269.7256511,256.7,8.780131871,0
Grob Tea Co Ltd,GROBTEA,Tea & Coffee,120.8706967,1039.9,4.313729361,0
Jay Shree Tea and Industries Ltd,JAYSREETEA,Tea & Coffee,297.1493515,102.9,15.58203207,0
McLeod Russel India Ltd,MCLEODRUSS,Tea & Coffee,272.1071897,26.05,-5.193876497,0
Norben Tea and Exports Ltd,NORBTEAEXP,Tea & Coffee,8.695,7.4,7.431623932,0
Peria Karamalai Tea and Produce Company Ltd,PKTEA,Tea & Coffee,95.94129021,309.9,8.41590265,0
Rossell India Ltd,ROSSELLIND,Tea & Coffee,570.0797391,155.35,17.32238648,0
Tata Coffee Ltd,TATACOFFEE,Tea & Coffee,3882.955992,207.9,29.05534265,0
Tata Consumer Products Ltd,TATACONSUM,Tea & Coffee,74599.61133,809.5,87.07888656,0
United Nilgiri Tea Estates Company Ltd,UNITEDTEA,Tea & Coffee,188.5204352,377.3,15.40199634,0
Andrew Yule & Co Ltd,ANDREWYU,Tea & Coffee,1178.371857,24.1,33.54317839,0
Jain Studios Ltd,JAINSTUDIO,TV Channels & Broadcasters,6.57677686,2.3,-5.526703244,0
Jump Networks Ltd,JUMPNET,TV Channels & Broadcasters,72.9723403,7.3,34.42091524,0
New Delhi Television Ltd,NDTV,TV Channels & Broadcasters,509.6453656,79.05,7.189242004,0
Raj Television Network Ltd,RAJTV,TV Channels & Broadcasters,179.6201702,34.6,1283.001216,0
Sri Adhikari Brothers Television Network Ltd,SABTN,TV Channels & Broadcasters,8.38668,2.4,-0.335870244,0
Sun Tv Network Ltd,SUNTV,TV Channels & Broadcasters,22108.14718,561,14.49686051,0
TV18 Broadcast Ltd,TV18BRDCST,TV Channels & Broadcasters,7123.166465,41.55,15.63640976,0
TV Today Network Ltd,TVTODAY,TV Channels & Broadcasters,1864.345876,312.45,14.17753518,0
TV Vision Ltd,TVVISION,TV Channels & Broadcasters,10.48335,3,-0.197948452,0
Zee Media Corporation Ltd,ZEEMEDIA,TV Channels & Broadcasters,744.2601292,11.9,9.825216227,0
Zee Entertainment Enterprises Ltd,ZEEL,TV Channels & Broadcasters,28906.72044,300.95,36.12888444,0
Avadh Sugar & Energy Ltd,AVADHSUGAR,Sugar,801.8378131,400.55,10.33562533,0
Bannari Amman Sugars Ltd,BANARISUG,Sugar,2763.937976,2204.15,29.99390098,0
Balrampur Chini Mills Ltd,BALRAMCHIN,Sugar,6671.0878,326.95,13.90418266,0
Bajaj Hindusthan Sugar Ltd,BAJAJHIND,Sugar,1718.049122,13.45,-5.90760306,0
Dharani Sugars and Chemicals Ltd,DHARSUGAR,Sugar,61.254,18.45,-1.610252366,0
Dalmia Bharat Sugar and Industries Ltd,DALMIASUG,Sugar,3191.436717,394.3,11.80527009,0
Dhampur Sugar Mills Ltd,DHAMPURSUG,Sugar,1956.110339,294.65,8.534512824,0
E I D-Parry (India) Ltd,EIDPARRY,Sugar,8101.374573,456.95,18.10889101,0
Dwarikesh Sugar Industries Ltd,DWARKESH,Sugar,1329.408378,70.6,14.52111828,0
Kothari Sugars and Chemicals Ltd,KOTARISUG,Sugar,265.243456,32,13.9528383,0
Khaitan (India) Ltd,KHAITANLTD,Sugar,15.74625,33.15,-2.733723958,0
KCP Sugar and Industries Corp Ltd,KCPSUGIND,Sugar,235.840904,20.8,10.1175849,0
K M Sugar Mills Ltd,KMSUGAR,Sugar,218.0404029,23.7,8.309466574,0
Magadh Sugar & Energy Ltd,MAGADSUGAR,Sugar,389.7040277,276.55,14.39615913,0
Mawana Sugars Ltd,MAWANASUG,Sugar,322.9097123,82.55,4.406519,0
Ponni Sugars (Erode) Ltd,PONNIERODE,Sugar,197.6776298,229.9,7.703726805,0
Shree Renuka Sugars Ltd,RENUKA,Sugar,5757.564836,27.05,-50.17485696,0
Rana Sugars Ltd,RANASUG,Sugar,393.9014583,25.65,2.497789843,0
Rajshree Sugars & Chemicals Ltd,RAJSREESUG,Sugar,78.03435213,23.55,-4.658767291,0
Sakthi Sugars Ltd,SAKHTISUG,Sugar,177.6793088,14.95,-1.528161252,0
Simbhaoli Sugars Ltd,SIMBHALS,Sugar,93.9097705,22.75,-15.80972567,0
Triveni Engineering and Industries Ltd,TRIVENI,Sugar,4623.566479,191.25,15.69385452,0
Thiru Arooran Sugars Ltd,THIRUSUGAR,Sugar,7.69537232,6.8,-0.097262036,0
Uttam Sugar Mills Ltd,UTTAMSUGAR,Sugar,650.0642554,170.45,10.87791592,0
Ugar Sugar Works Ltd,UGARSUGAR,Sugar,304.3125,27.05,17.84824047,0
Vishwaraj Sugar Industries Ltd,VISHWARAJ,Sugar,680.7025,36.25,82.0123494,0
BSE Ltd,BSE,Stock Exchanges & Ratings,5961.892287,1324.15,41.14487431,0
Central Depository Services (India) Ltd,CDSL,Stock Exchanges & Ratings,14140.4175,1353.15,70.57857499,0
CARE Ratings Ltd,CARERATING,Stock Exchanges & Ratings,2020.744668,685.9,22.57310845,0
CRISIL Ltd,CRISIL,Stock Exchanges & Ratings,20403.63975,2802,57.51878822,0
ICRA Ltd,ICRA,Stock Exchanges & Ratings,3323.653971,3455.2,40.7061111,0
Multi Commodity Exchange of India Ltd,MCX,Stock Exchanges & Ratings,8672.567617,1703.75,38.50709358,0
3M India Ltd,3MINDIA,Stationery,28614.06635,25400.7,176.20584,0
Kokuyo Camlin Ltd,KOKUYOCMLN,Stationery,675.5461334,67.35,-46.23861283,0
Kshitij Polyline Ltd,KSHITIJPOL,Stationery,32.72140518,32.3,3272.140518,0
Linc Pen & Plastics Ltd,LINCPEN,Stationery,335.8163308,225.8,8395.40827,0
Repro India Ltd,REPRO,Stationery,719.6089474,566,-16.58849579,0
Aarti Industries Ltd,AARTIIND,Specialty Chemicals,34949.01401,964.1,66.76412023,0
Advanced Enzyme Technologies Ltd,ADVENZYMES,Specialty Chemicals,4211.806344,376.8,28.81246644,0
Aarti Surfactants Ltd,AARTISURF,Specialty Chemicals,902.9319869,1190.5,41.72513802,0
20 Microns Ltd,20MICRONS,Specialty Chemicals,206.6024692,58.55,8.994447941,0
Alkyl Amines Chemicals Ltd,ALKYLAMINE,Specialty Chemicals,18407.93711,3604.5,62.32584092,0
Akzo Nobel India Ltd,AKZOINDIA,Specialty Chemicals,9567.564568,2100.9,46.08653453,0
Apcotex Industries Ltd,APCOTEXIND,Specialty Chemicals,2033.100106,392.15,46.02898135,0
Aksharchem (India) Ltd,AKSHARCHEM,Specialty Chemicals,414.5999116,505.45,33.19454856,0
Ambica Agarbathies Aroma & Industries Ltd,AMBICAAGAR,Specialty Chemicals,31.005207,18.05,11.31576898,0
AVSL Industries Ltd,AVSL,Specialty Chemicals,4.6224,32.1,0.788805461,0
Asahi Songwon Colors Lucky Laminates Ltd,ASAHISONG,Specialty Chemicals,377.4756179,313.85,11.72284528,0
Arvee Laboratories (India) Ltd,ARVEE,Specialty Chemicals,82.06875,72.95,30.62266791,0
Bhageria Industries Ltd,BHAGERIA,Specialty Chemicals,1184.939487,271.5,18.9106206,0
Balaji Amines Ltd,BALAMINES,Specialty Chemicals,11210.42199,3459.9,47.06108891,0
Camlin Fine Sciences Ltd,CAMLINFINE,Specialty Chemicals,2108.618853,165.25,41.37792097,0
Chromatic India Ltd,CHROMATIC,Specialty Chemicals,6.394149,0.9,-2.39481236,0
Chembond Chemicals Ltd,CHEMBOND,Specialty Chemicals,285.3726714,212.2,14.01633946,0
Clariant Chemicals India Ltd,CLNINDIA,Specialty Chemicals,1269.49889,550,5.776751411,0
DIC India Ltd,DICIND,Specialty Chemicals,389.6934685,424.55,4.537122698,0
Gujarat Fluorochemicals Ltd,FLUOROCHEM,Specialty Chemicals,19953.154,1816.4,-91.22275865,0
Foseco India Ltd,FOSECOIND,Specialty Chemicals,959.5654647,1502.5,62.18829972,0
Fineotex Chemical Ltd,FCL,Specialty Chemicals,1306.831356,118,30.68399521,0
Privi Speciality Chemicals Ltd,PRIVISCL,Specialty Chemicals,6295.835096,1611.75,53.8611951,0
Fine Organic Industries Ltd,FINEORG,Specialty Chemicals,10079.77371,3287.6,83.76775293,0
Galaxy Surfactants Ltd,GALAXYSURF,Specialty Chemicals,11169.31052,3150.3,36.96733475,0
GFL Ltd,GFLLIMITED,Specialty Chemicals,851.3375,77.5,-3.674150878,0
Gulshan Polyols Ltd,GULPOLY,Specialty Chemicals,1270.968342,271.35,20.35177489,0
I G Petrochemicals Ltd,IGPL,Specialty Chemicals,2573.525615,835.7,13.68023397,0
Jayant Agro-Organics Ltd,JAYAGROGN,Specialty Chemicals,669.3,223.1,13.94665555,0
Kanoria Chemicals and Industries Ltd,KANORICHEM,Specialty Chemicals,756.9869942,173.25,52.17002028,0
Indokem Ltd,INDOKEM,Specialty Chemicals,0,41,0,0
Kiri Industries Ltd,KIRIINDUS,Specialty Chemicals,1930.170326,482.9,7.64514725,0
Mahickra Chemicals Ltd,MAHICKRA,Specialty Chemicals,65.0991124,80.15,20.99971368,0
Manali Petrochemicals Ltd,MANALIPETC,Specialty Chemicals,2090.650628,121.55,10.38935859,0
Navin Fluorine International Ltd,NAVINFLUOR,Specialty Chemicals,16536.52904,3338.4,64.21454273,0
Neogen Chemicals Ltd,NEOGEN,Specialty Chemicals,2770.634443,1187.35,88.43391138,0
Oriental Aromatics Ltd,OAL,Specialty Chemicals,2586.950387,768.7,25.37718645,0
Omkar Speciality Chemicals Ltd,OMKARCHEM,Specialty Chemicals,39.0982076,19,19.6473405,0
Panama Petrochem Ltd,PANAMAPET,Specialty Chemicals,1602.777879,264.95,11.84085313,0
Plastiblends India Ltd,PLASTIBLEN,Specialty Chemicals,605.288468,232.9,16.20584921,0
Poddar Pigments Ltd,PODDARMENT,Specialty Chemicals,333.8967,314.7,14.1182537,0
Rossari Biotech Ltd,ROSSARI,Specialty Chemicals,7789.122827,1414.8,97.09701854,0
Shalimar Paints Ltd,SHALPAINTS,Specialty Chemicals,493.317853,90.85,-9.890093284,0
S H Kelkar and Company Ltd,SHK,Specialty Chemicals,2191.668227,158.8,15.14629044,0
Seya Industries Ltd,SEYAIND,Specialty Chemicals,147.0679389,55.35,-1.342105666,0
Shree Pushkar Chemicals & Fertilisers Ltd,SHREEPUSHK,Specialty Chemicals,652.3441901,211.55,22.87321845,0
Supreme Petrochem Ltd,SUPPETRO,Specialty Chemicals,5887.104315,626.15,12.32927248,0
Ushanti Colour Chem Ltd,UCL,Specialty Chemicals,40.7799945,55.85,16.8512374,0
Vinyl Chemicals India Ltd,VINYLINDIA,Specialty Chemicals,489.325807,266.85,43.11240591,0
Vinati Organics Ltd,VINATIORGA,Specialty Chemicals,19650.90014,1911.9,72.96216589,0
Vadivarhe Speciality Chemicals Ltd,VSCL,Specialty Chemicals,40.45740375,31.65,-14.65847962,0
